<HS,HS,Coll.,All
 20.0,33.0,15.0,31.0
 22.0,34.0,16.0,32.0
 24.0,35.0,17.0,33.0
 26.0,35.0,25.0,34.0
 30.0,35.0,35.0,35.0
 35.7778,36.3333,36.6667,36.3333
 36.5556,37.6667,38.3333,37.6667
 37.3333,39.0,40.0,39.0
 38.1111,40.3333,41.6667,40.3333
 38.8889,41.6667,43.3333,41.6667
 39.6667,43.0,45.0,43.0
 40.4444,44.3333,46.6667,44.3333
 41.2222,45.6667,48.3333,45.6667
 42.0,47.0,50.0,47.0
 43.0,48.0,50.0,48.0
 43.2222,48.3333,51.1111,48.4444
 43.4444,48.6667,52.2222,48.8889
 43.6667,49.0,53.3333,49.3333
 43.8889,49.3333,54.4444,49.7778
 44.1111,49.6667,55.5556,50.2222
 44.3333,50.0,56.6667,50.6667
 44.5556,50.3333,57.7778,51.1111
 44.7778,50.6667,58.8889,51.5556
 45.0,51.0,60.0,52.0
 45.0,51.0,60.0,52.0
 44.4444,50.5,59.4444,51.4444
 43.8889,50.0,58.8889,50.8889
 43.3333,49.5,58.3333,50.3333
 42.7778,49.0,57.7778,49.7778
 42.2222,48.5,57.2222,49.2222
 41.6667,48.0,56.6667,48.6667
 41.1111,47.5,56.1111,48.1111
 40.5556,47.0,55.5556,47.5556
 40.0,46.5,55.0,47.0
 40.0,46.3,55.0,47.0
 39.1667,45.6083,53.9167,46.25
 38.3333,44.9167,52.8333,45.5
  37.5,44.225,51.75,44.75
 36.6667,43.5333,50.6667,44.0
 35.8333,42.8417,49.5833,43.25
 35.0,42.15,48.5,42.5
 34.1667,41.4583,47.4167,41.75
 33.3333,40.7667,46.3333,41.0
 32.5,40.075,45.25,40.25
 31.6667,39.3833,44.1667,39.5
 30.8333,38.6917,43.0833,38.75
 30.0,38.0,42.0,38.0
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 23.4,29.64,32.76,29.64
 0,0,0,0
